Study Title,Year of Publication,Author,Study Sample,Comparison Groups,Blinding,Primary Outcome,Primary Outcome Results,Conclusion,GPT Summary,Study URL
"Efficacy and safety of garadacimab, a factor XIIa inhibitor for hereditary angioedema prevention (VANGUARD): a global, multicentre, randomised, double-blind, placebo-controlled, phase 3 trial.",2023,Timothy J Craig et al.,65,Garadacimab vs Placebo,Unspecified,Investigator-assessed time-normalised number of hereditary angioedema attacks (number of hereditary angioedema attacks per month) during the 6-month treatment period (day 1 to day 182),"Mean number of hereditary angioedema attacks per month was significantly lower in the garadacimab group (0¬∑27, 95% CI 0¬∑05 to 0¬∑49) than in the placebo group (2¬∑01, 1¬∑44 to 2¬∑57; p<0¬∑0001)",Monthly garadacimab administration significantly reduced hereditary angioedema attacks in patients aged 12 years and older compared with placebo and had a favourable safety profile.,"2) to receive garadacimab or placebo for 6 months. The primary endpoint was the investigator-assessed time-normalised number of hereditary angioedema attacks (number of hereditary angioedema attacks per month) during the 6-month treatment period. Results showed that the mean number of hereditary angioedema attacks per month was significantly lower in the garadacimab group (0¬∑27, 95% CI 0¬∑05 to 0¬∑49) than in the placebo group (2¬∑01, 1¬∑44 to 2¬∑57; p<0¬∑0001).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36868261
"The Effects of Opt-out vs Opt-in Tobacco Treatment on Engagement, Cessation, and Costs: A Randomized Clinical Trial.",2024,Kimber P Richter et al.,1000,Opt-out care vs Opt-in care,Unspecified,Biochemically verified abstinence and treatment uptake at 1 month after randomization,Opt-out group had 22% vs 16% at month 1 and 19% vs 18% at 6 months. Treatment use for the opt-out group vs the opt-in group was 60% vs 34% for postdischarge cessation medication and 89% vs 37% for completing at least 1 postdischarge counseling call.,"Opt-out care doubled treatment engagement and increased quit attempts, while enhancing patients' sense of agency and alliance with practitioners.","This randomized clinical trial of 1000 adult patients at a tertiary care hospital in Kansas City compared opt-out care vs opt-in care for people who use tobacco. The primary outcome was biochemically verified abstinence and treatment uptake at 1 month after randomization. Results showed that opt-out care had 22% vs 16% at month 1 and 19% vs 18% at 6 months, and treatment use for the opt-out group vs the opt-in group was 60% vs 34% for postdischarge cessation medication and 89% vs 37% for completing at least 1 postdischarge counseling call. The study was unblinded and concluded that opt-out care doubled treatment engagement and increased quit attempts, while enhancing patients' sense of agency and alliance with practitioners.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36848129
Vedolizumab for the Treatment of Chronic Pouchitis.,2023,Simon Travis et al.,102,Vedolizumab vs Placebo,Double-blind,mPDAI-defined remission at week 14,"31% (16 of 51 patients) with vedolizumab vs 10% (5 of 51 patients) with placebo (difference, 21 percentage points; 95% CI, 5 to 38; P = 0.01)",Treatment with vedolizumab was more effective than placebo in inducing remission in patients who had chronic pouchitis after undergoing IPAA for ulcerative colitis.,"This was a double-blind, randomized trial of 102 adult patients with chronic pouchitis after undergoing IPAA for ulcerative colitis, comparing vedolizumab to placebo. The primary outcome was mPDAI-defined remission at week 14, which was seen in 31% of patients in the vedolizumab group and 10% of patients in the placebo group (difference, 21 percentage points; 95% CI, 5 to 38; P = 0.01).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36988594
Azithromycin to Prevent Sepsis or Death in Women Planning a Vaginal Birth.,2023,Alan T N Tita et al.,"29,278",Azithromycin vs. Placebo,Unspecified,Composite of maternal sepsis or death and a composite of stillbirth or neonatal death or sepsis,"Lower incidence of maternal sepsis or death in the azithromycin group (1.6%) compared to placebo group (2.4%), with a relative risk of 0.67 (95% CI, 0.56 to 0.79; P<0.001). Similar incidence of stillbirth or neonatal death or sepsis (10.5% vs. 10.3%), with a relative risk of 1.02 (95% CI, 0.95 to 1.09; P = 0.56).",Azithromycin resulted in a lower risk of maternal sepsis or death compared to placebo but had little effect on newborn sepsis or death.,"This multicountry, placebo-controlled, randomized trial evaluated the effects of a single 2-g oral dose of azithromycin versus placebo in 29,278 women planning a vaginal delivery. The primary outcomes were a composite of maternal sepsis or death and a composite of stillbirth or neonatal death or sepsis. The results showed that the incidence of maternal sepsis or death was lower in the azithromycin group (1.6%) compared to the placebo group (2.4%), with a relative risk of 0.67 (95% CI, 0.56 to 0.79; P<0.001). The incidence of stillbirth or neonatal death or sepsis was similar (10.5% vs. 10.3%), with a relative risk of 1.02 (95% CI, 0.95 to 1.09; P = 0.56).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36757318
"Effect of monthly intermittent preventive treatment with dihydroartemisinin-piperaquine with and without azithromycin versus monthly sulfadoxine-pyrimethamine on adverse pregnancy outcomes in Africa: a double-blind randomised, partly placebo-controlled trial.",2023,Mwayiwawo Madanitsa et al.,4680,IPTp with sulfadoxine-pyrimethamine vs IPTp with dihydroartemisinin-piperaquine vs IPTp with dihydroartemisinin-piperaquine plus azithromycin,Unspecified,"Adverse pregnancy outcome (fetal loss, adverse newborn baby outcomes, or neonatal death)",Adverse pregnancy outcome was reported more frequently in the dihydroartemisinin-piperaquine group (27.9%) and in the dihydroartemisinin-piperaquine plus azithromycin group (27.6%) compared to the sulfadoxine-pyrimethamine group (23.3%),"Monthly IPTp with dihydroartemisinin-piperaquine did not improve pregnancy outcomes, and the addition of a single course of azithromycin did not enhance the effect of monthly IPTp with dihydroartemisinin-piperaquine.","This double-blind, three-arm, partly placebo-controlled trial included 4680 HIV-negative pregnant women in Kenya, Malawi, and Tanzania. The study compared IPTp with sulfadoxine-pyrimethamine, IPTp with dihydroartemisinin-piperaquine plus a single treatment course of placebo, or IPTp with dihydroartemisinin-piperaquine plus a single treatment course of azithromycin. The primary outcome was adverse pregnancy outcome, which was reported more frequently in the dihydroartemisinin-piperaquine group (27.9%) and in the dihydroartemisinin-piperaquine plus azithromycin group (27.6%) compared to the sulfadoxine-pyrimethamine group (23.3%).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36913959
"Baricitinib for systemic lupus erythematosus: a double-blind, randomised, placebo-controlled, phase 3 trial (SLE-BRAVE-I).",2023,Eric F Morand et al.,760,Baricitinib 4 mg vs. Baricitinib 2 mg vs. Placebo,Unspecified,Proportion of patients reaching an SLE Responder Index (SRI)-4 response at week 52,57% of participants who received baricitinib 4 mg reached SRI-4 response compared with 46% of participants who received placebo (odds ratio 1¬∑57 [95% CI 1¬∑09 to 2¬∑27]; difference with placebo 10¬∑8 [2¬∑0 to 19¬∑6]; p=0¬∑016),Baricitinib 4 mg was more effective than placebo in helping patients with active SLE reach an SRI-4 response at week 52.,"This was a double-blind, placebo-controlled, phase 3 study of 760 patients with active SLE receiving either baricitinib 4 mg, baricitinib 2 mg, or placebo once daily for 52 weeks. The primary outcome was the proportion of patients reaching an SLE Responder Index (SRI)-4 response at week 52, which was 57% in the baricitinib 4 mg group compared with 46% in the placebo group (odds ratio 1¬∑57 [95% CI 1¬∑09 to 2¬∑27]; difference with placebo 10¬∑8 [2¬∑0 to 19¬∑6]; p=0¬∑016).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36848918
Acute Effects of Coffee Consumption on Health among Ambulatory Adults.,2023,Gregory M Marcus et al.,100,Caffeinated Coffee vs Avoid Caffeine,Unspecified,Mean number of daily premature atrial contractions,"58 daily premature atrial contractions with caffeinated coffee vs 53 daily events on days when caffeine was avoided (rate ratio, 1.09; 95% CI, 0.98 to 1.20; P = 0.10)",Caffeinated coffee did not result in significantly more daily premature atrial contractions than the avoidance of caffeine.,"This randomized trial involved 100 adults with a mean age of 39 years, 51% of whom were women and 51% non-Hispanic White. Unspecified study blinding was used to assess the effects of caffeinated coffee consumption on cardiac ectopy and arrhythmias, daily step counts, sleep minutes, and serum glucose levels. The primary outcome was the mean number of daily premature atrial contractions, which was found to be 58 with caffeinated coffee consumption and 53 when caffeine was avoided (rate ratio, 1.09; 95% CI, 0.98 to 1.20; P = 0.10). The results suggest that caffeinated coffee did not result in significantly more daily premature atrial contractions than the avoidance of caffeine.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36947466
Antidepressant Augmentation versus Switch in Treatment-Resistant Geriatric Depression.,2023,Eric J Lenze et al.,619 (Step 1) and 248 (Step 2),Aripiprazole Augmentation vs Bupropion Augmentation vs Switch to Bupropion (Step 1); Lithium Augmentation vs Switch to Nortriptyline (Step 2),Unspecified,Change from baseline in psychological well-being,"Aripiprazole Augmentation improved well-being by 4.83 points, Bupropion Augmentation improved well-being by 4.33 points, and Switch to Bupropion improved well-being by 2.04 points (difference between Aripiprazole Augmentation and Switch to Bupropion was 2.79 points)",Aripiprazole Augmentation improved well-being more than Bupropion Augmentation or a Switch to Bupropion in older adults with treatment-resistant depression.,"This open-label trial studied 619 older adults with treatment-resistant depression, randomly assigning them to Aripiprazole Augmentation, Bupropion Augmentation, or a Switch to Bupropion in Step 1, and 248 patients in Step 2 to Lithium Augmentation or a Switch to Nortriptyline. The primary outcome was the change from baseline in psychological well-being, and the results showed that Aripiprazole Augmentation improved well-being more than Bupropion Augmentation or a Switch to Bupropion (difference of 2.79 points). Remission rates were also higher in the Aripiprazole Augmentation group.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36867173
Early vs Interval Postpartum Intrauterine Device Placement: A Randomized Clinical Trial.,2023,Sarah Averbach et al.,404,Early (14-28 days) vs Interval (42-56 days),Unspecified,Complete IUD expulsion by 6 months postpartum,"3 of 149 (2.0% [95% CI, 0.4%-5.8%]) in the early placement group and 0 of 145 (0% [95% CI, 0.0%-2.5%]) in the interval placement group (between-group difference, 2.0 [95% CI, -0.5 to 5.7] percentage points)","Early IUD placement at 2 to 4 weeks postpartum compared with 6 to 8 weeks postpartum was noninferior for complete expulsion, but not partial expulsion.","This randomized noninferiority trial assessed 642 postpartum people from 4 US medical centers, with 404 participants enrolled from March 2018 to July 2021. Unspecified study blinding was used, and participants were randomly assigned to undergo early (14-28 days) or interval (42-56 days) postpartum IUD placement. The primary outcome was complete IUD expulsion by 6 months postpartum, and results showed that early IUD placement at 2 to 4 weeks postpartum compared with 6 to 8 weeks postpartum was noninferior for complete expulsion, but not partial expulsion.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36943214
"Effectiveness of a non-physician community health-care provider-led intensive blood pressure intervention versus usual care on cardiovascular disease (CRHCP): an open-label, blinded-endpoint, cluster-randomised trial.",2023,Jiang He et al.,"33,995",Intervention vs Usual Care,Unspecified,"Composite outcome of myocardial infarction, stroke, heart failure requiring hospitalisation, and cardiovascular disease death during the 36-month follow-up","Fewer patients in the intervention group than the usual care group had a primary outcome (1¬∑62% vs 2¬∑40% per year; hazard ratio [HR] 0¬∑67, 95% CI 0¬∑61-0¬∑73; p<0¬∑0001)",The non-physician community health-care provider-led intensive blood pressure intervention is effective in reducing cardiovascular disease and death.,"This open-label, blinded-endpoint, cluster-randomised trial included 33,995 participants aged at least 40 years with an untreated systolic blood pressure of at least 140 mm Hg or a diastolic blood pressure of at least 90 mm Hg. The study compared a non-physician community health-care provider-led intervention with usual care. The primary outcome was a composite outcome of myocardial infarction, stroke, heart failure requiring hospitalisation, and cardiovascular disease death during the 36-month follow-up. The intervention group had fewer patients with the primary outcome (1¬∑62% vs 2¬∑40% per year; hazard ratio [HR] 0¬∑67, 95% CI 0¬∑61-0¬∑73; p<0¬∑0001) and also showed reduced risk for secondary outcomes.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36871573
"Hyperfractionation compared with standard fractionation in intensity-modulated radiotherapy for patients with locally advanced recurrent nasopharyngeal carcinoma: a multicentre, randomised, open-label, phase 3 trial.",2023,Rui You et al.,144,Hyperfractionation vs Standard Fractionation,Unspecified,Incidence of Severe Late Complications and Overall Survival,Hyperfractionation group had significantly lower incidence of grade 3 or worse late radiation-induced toxicity (34% vs 57%; p=0.023) and better 3-year overall survival (74.6% vs 55.0%; hazard ratio for death 0.54; p=0.014),Hyperfractionated intensity-modulated radiotherapy could significantly decrease the rate of severe late complications and improve overall survival among patients with locally advanced recurrent nasopharyngeal carcinoma.,"This was a randomized, open-label, phase 3 trial of 144 patients with locally advanced recurrent nasopharyngeal carcinoma, which compared hyperfractionation (65 Gy in 54 fractions, given twice daily) to standard fractionation (60 Gy in 27 fractions, given once a day). The study found that hyperfractionation was associated with a significantly lower incidence of grade 3 or worse late radiation-induced toxicity (34% vs 57%; p=0.023) and better 3-year overall survival (74.6% vs 55.0%; hazard ratio for death 0.54; p=0.014).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36842439
Trial of Hybrid Closed-Loop Control in Young Children with Type 1 Diabetes.,2023,R Paul Wadwa et al.,102,Closed-loop group vs Standard-care group,Unspecified,Percentage of time that the glucose level was in the target range of 70 to 180 mg per deciliter,"Mean adjusted difference of 12.4 percentage points (equivalent to approximately 3 hours per day); 95% confidence interval, 9.5 to 15.3; P<0.001",Closed-loop system of insulin delivery was more effective than standard care in keeping glucose levels in the target range for young children with type 1 diabetes.,"This was a 13-week, multicenter, randomized controlled trial with an unspecified blinding, involving 102 young children with type 1 diabetes. The study compared a closed-loop system of insulin delivery to standard care, with the primary outcome being the percentage of time that the glucose level was in the target range. The results showed that the mean percentage of time that the glucose level was within the target range increased from 56.7±18.0% at baseline to 69.3±11.1% in the closed-loop group and from 54.9±14.7% to 55.9±12.6% in the standard-care group (mean adjusted difference, 12.4 percentage points [equivalent to approximately 3 hours per day]; 95% confidence interval, 9.5 to 15.3; P<0.001). This indicates that the closed-loop system of insulin delivery improved glycemic outcomes in young children with type 1 diabetes compared to standard care.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36920756
Inaxaplin for Proteinuric Kidney Disease in Persons with Two APOL1 Variants.,2023,Ogo Egbuna et al.,16,N/A,Unspecified,Percent change from the baseline urinary protein-to-creatinine ratio at week 13,"Mean change from the baseline urinary protein-to-creatinine ratio at week 13 was -47.6% (95% confidence interval, -60.0 to -31.3)",Targeted inhibition of APOL1 channel function with inaxaplin reduced proteinuria in participants with two APOL1 variants and focal segmental glomerulosclerosis.,"This was a single-group, open-label, phase 2a clinical study with an unspecified blinding and a sample size of 16. The patient population was those with two APOL1 variants, biopsy-proven focal segmental glomerulosclerosis, and proteinuria. The primary outcome was the percent change from the baseline urinary protein-to-creatinine ratio at week 13, and the findings showed a mean change of -47.6% (95% confidence interval, -60.0 to -31.3).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36920755
Ide-cel or Standard Regimens in Relapsed and Refractory Multiple Myeloma.,2023,Paula Rodriguez-Otero et al.,386,ide-cel vs standard regimen,Unspecified,Progression-free survival,"Median progression-free survival was 13.3 months in the ide-cel group, as compared with 4.4 months in the standard-regimen group (hazard ratio for disease progression or death, 0.49; 95% confidence interval, 0.38 to 0.65; P<0.001)",Ide-cel therapy significantly prolonged progression-free survival and improved response as compared with standard regimens in patients with triple-class-exposed relapsed and refractory multiple myeloma.,"1 ratio to receive either ide-cel or one of five standard regimens. The primary end point was progression-free survival, and the median progression-free survival was 13.3 months in the ide-cel group, as compared with 4.4 months in the standard-regimen group (hazard ratio for disease progression or death, 0.49; 95% confidence interval, 0.38 to 0.65; P<0.001).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36762851
Expectant Management or Early Ibuprofen for Patent Ductus Arteriosus.,2023,Tim Hundscheid et al.,273,Expectant management vs. early ibuprofen treatment,Unspecified,"Necrotizing enterocolitis (Bell's stage IIa or higher), moderate to severe bronchopulmonary dysplasia, or death at 36 weeks' postmenstrual age","46.3% of infants in the expectant-management group and 63.5% in the early-ibuprofen group (absolute risk difference, -17.2 percentage points; upper boundary of the one-sided 95% confidence interval [CI], -7.4; P<0.001 for noninferiority)","Expectant management for PDA in extremely premature infants was noninferior to early ibuprofen treatment with respect to necrotizing enterocolitis, bronchopulmonary dysplasia, or death at 36 weeks' postmenstrual age.","This was a multicenter, noninferiority trial with a sample size of 273 extremely premature infants (<28 weeks' gestational age) with echocardiographically confirmed PDA. The study compared expectant management to early ibuprofen treatment, with the primary outcome being necrotizing enterocolitis, bronchopulmonary dysplasia, or death at 36 weeks' postmenstrual age. The results showed that expectant management was noninferior to early ibuprofen treatment, with an absolute risk difference of -17.2 percentage points and an upper boundary of the one-sided 95% confidence interval of -7.4 (P<0.001 for noninferiority).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36477458
"Immunogenicity and safety of BPZE1, an intranasal live attenuated pertussis vaccine, versus tetanus-diphtheria-acellular pertussis vaccine: a randomised, double-blind, phase 2b trial.",2023,Cheryl Keech et al.,280,BPZE1-BPZE1 vs BPZE1-placebo vs Tdap-BPZE1 vs Tdap-placebo,Unspecified,Proportion of participants achieving nasal secretory IgA seroconversion against at least one B pertussis antigen on day 29 or day 113,"79 (94% [95% CI 87-98]) of 84 participants in the BPZE1-BPZE1 group, 89 (95% [88-98]) of 94 in the BPZE1-placebo group, 38 (90% [77-97]) of 42 in the Tdap-BPZE1 group, and 42 (93% [82-99]) of 45 in the Tdap-placebo group","BPZE1 induced nasal mucosal immunity and produced functional serum responses, and both vaccines were well tolerated with mild reactogenicity and no serious adverse events.","This double-blind, phase 2b trial of 280 healthy adults aged 18-50 years in the USA compared the immunogenicity and safety of BPZE1 and the tetanus-diphtheria-acellular pertussis vaccine (Tdap). The primary outcome was the proportion of participants achieving nasal secretory IgA seroconversion against at least one B pertussis antigen on day 29 or day 113. Results showed that BPZE1 induced broad and consistent B pertussis-specific mucosal secretory IgA responses, whereas Tdap did not induce consistent mucosal secretory IgA responses. Both vaccines were well tolerated, with mild reactogenicity and no serious adverse events related to study vaccination.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36906345
"Adjuvant nivolumab plus ipilimumab versus placebo for localised renal cell carcinoma after nephrectomy (CheckMate 914): a double-blind, randomised, phase 3 trial.",2023,Robert J Motzer et al.,816,Nivolumab plus ipilimumab vs Placebo,Unspecified,Disease-Free Survival,"Median Disease-Free Survival was not reached in the Nivolumab plus Ipilimumab group and was 50.7 months (95% CI 48.1 to not estimable) in the Placebo group (Hazard Ratio 0.92, 95% CI 0.71-1.19; p=0.53).",Adjuvant therapy with Nivolumab plus Ipilimumab did not improve Disease-Free Survival versus Placebo in patients with localised Renal Cell Carcinoma at high risk of recurrence after Nephrectomy.,"This double-blind, phase 3 study of 816 patients with localised clear cell renal cell carcinoma at high risk of relapse after radical or partial nephrectomy compared the efficacy and safety of adjuvant Nivolumab plus Ipilimumab versus Placebo. Results showed that median Disease-Free Survival was not reached in the Nivolumab plus Ipilimumab group and was 50.7 months (95% CI 48.1 to not estimable) in the Placebo group (Hazard Ratio 0.92, 95% CI 0.71-1.19; p=0.53). Therefore, the study results do not support this regimen for the adjuvant treatment of renal cell carcinoma.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36774933
"Nirogacestat, a Œ≥-Secretase Inhibitor for Desmoid Tumors.",2023,Mrinal Gounder et al.,70 (nirogacestat) vs. 72 (placebo),Nirogacestat vs. Placebo,Double-blind,Progression-free survival,"Nirogacestat had a significant progression-free survival benefit over placebo (hazard ratio for disease progression or death, 0.29; 95% confidence interval, 0.15 to 0.55; P<0.001); the likelihood of being event-free at 2 years was 76% with nirogacestat and 44% with placebo.","Nirogacestat was associated with significant benefits with respect to progression-free survival, objective response, pain, symptom burden, physical functioning, role functioning, and health-related quality of life in adults with progressing desmoid tumors.","This was a double-blind, randomized, placebo-controlled phase 3 trial of nirogacestat in adults with progressing desmoid tumors. The sample size was 70 (nirogacestat) vs. 72 (placebo). The primary outcome was progression-free survival, which showed significant benefits with nirogacestat (hazard ratio for disease progression or death, 0.29; 95% confidence interval, 0.15 to 0.55; P<0.001).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36884323
Treatment Strategy for Rifampin-Susceptible Tuberculosis.,2023,Nicholas I Paton et al.,674,Standard treatment vs. Rifampin-linezolid strategy vs. Bedaquiline-linezolid strategy,Unspecified,"Composite of death, ongoing treatment, or active disease at week 96","7 of the 181 participants (3.9%) in the standard-treatment group, 21 of the 184 participants (11.4%) in the strategy group with an initial rifampin-linezolid regimen, and 11 of the 189 participants (5.8%) in the strategy group with an initial bedaquiline-linezolid regimen",A strategy involving initial treatment with an 8-week bedaquiline-linezolid regimen was noninferior to standard treatment for tuberculosis with respect to clinical outcomes.,"This open-label, noninferiority trial studied 674 participants with rifampin-susceptible pulmonary tuberculosis. Participants were randomly assigned to either a standard treatment of rifampin and isoniazid for 24 weeks with pyrazinamide and ethambutol for the first 8 weeks or a strategy involving initial treatment with an 8-week regimen. The primary outcome was a composite of death, ongoing treatment, or active disease at week 96. Results showed that the strategy involving initial treatment with an 8-week bedaquiline-linezolid regimen was noninferior to standard treatment for tuberculosis with respect to clinical outcomes, with a shorter total duration of treatment and no evident safety concerns.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36808186
